,날짜,거래량,변동 %
0,2020-12-30,158111000000,1.58
1,2020-12-29,128201000000,1.48
2,2020-12-28,153681000000,-0.7
3,2020-12-24,234991000000,0.71
4,2020-12-23,180351000000,-1.64
5,2020-12-22,240491000000,-2.3
6,2020-12-21,183451000000,0.23
7,2020-12-18,220231000000,1.02
8,2020-12-17,231341000000,0.74
9,2020-12-16,244511000000,0.87
10,2020-12-15,190321000000,-0.14
11,2020-12-14,248911000000,-0.03
12,2020-12-11,253661000000,0.63
13,2020-12-10,321111000000,1.19
14,2020-12-09,185351000000,1.6
15,2020-12-08,154031000000,-0.97
16,2020-12-07,147661000000,-0.51
17,2020-12-04,205701000000,0.03
18,2020-12-03,227101000000,-0.16
19,2020-12-02,195441000000,1.46
20,2020-12-01,290781000000,1.1
21,2020-11-30,231851000000,-0.25
22,2020-11-27,293591000000,0.96
23,2020-11-26,148531000000,0.38
24,2020-11-25,282351000000,-0.86
25,2020-11-24,275731000000,0.11
26,2020-11-23,681691000000,0.94
27,2020-11-20,552541000000,1.15
28,2020-11-19,317541000000,-0.17
29,2020-11-18,261141000000,-0.08
30,2020-11-17,335261000000,0.06
31,2020-11-16,313131000000,1.1
32,2020-11-13,243961000000,0.39
33,2020-11-12,330841000000,-0.22
34,2020-11-11,232351000000,0.05
35,2020-11-10,307401000000,0.98
36,2020-11-09,202331000000,2.78
37,2020-11-06,101031000000,-0.21
38,2020-11-05,108321000000,1.88
39,2020-11-04,168331000000,0.29
40,2020-11-03,80991000000,2.61
41,2020-11-02,55971000000,1.31
42,2020-10-30,87691000000,-2.28
43,2020-10-29,92471000000,-0.49
44,2020-10-28,85571000000,2.01
45,2020-10-27,104071000000,-1.14
46,2020-10-26,130941000000,-2.06
47,2020-10-23,237631000000,0.72
48,2020-10-22,101721000000,-0.5
49,2020-10-21,94251000000,1.73
50,2020-10-20,78561000000,-0.14
51,2020-10-19,97661000000,0.85
52,2020-10-16,190691000000,-1.06
53,2020-10-15,84121000000,-0.73
54,2020-10-14,96451000000,-1.03
55,2020-10-13,78801000000,-1.1
56,2020-10-12,92751000000,0.49
57,2020-10-08,99201000000,0.9
58,2020-10-07,85291000000,0.49
59,2020-10-06,110731000000,-0.0
60,2020-10-05,92011000000,1.9
61,2020-09-29,121121000000,1.01
62,2020-09-28,149801000000,1.68
63,2020-09-25,129671000000,0.13
64,2020-09-24,129251000000,-3.83
