,날짜,거래량,변동 %
173,2020-04-20,209681000000,-0.51
174,2020-04-17,261091000000,1.53
175,2020-04-16,167631000000,2.52
176,2020-04-14,158401000000,2.61
177,2020-04-13,103971000000,-2.21
178,2020-04-10,106111000000,-0.58
179,2020-04-09,88711000000,1.25
180,2020-04-08,117101000000,-0.77
181,2020-04-07,159881000000,0.4
182,2020-04-06,124591000000,3.98
183,2020-04-03,125631000000,0.51
184,2020-04-02,165021000000,3.5
185,2020-04-01,225921000000,-4.58
186,2020-03-31,177741000000,5.7
187,2020-03-30,128281000000,2.71
188,2020-03-27,186341000000,0.48
189,2020-03-26,173181000000,0.68
190,2020-03-25,142531000000,3.89
191,2020-03-24,131751000000,8.92
192,2020-03-23,110571000000,-4.42
193,2020-03-20,116961000000,10.49
194,2020-03-19,156671000000,-9.56
195,2020-03-18,109031000000,-6.4
196,2020-03-17,115171000000,3.78
197,2020-03-16,96791000000,-3.13
198,2020-03-13,130491000000,-4.77
199,2020-03-12,84251000000,-4.24
200,2020-03-11,67071000000,-3.82
201,2020-03-10,91731000000,1.58
202,2020-03-09,77561000000,-3.79
203,2020-03-06,63791000000,-1.06
204,2020-03-05,64801000000,1.35
205,2020-03-04,63261000000,1.73
206,2020-03-03,55611000000,-0.75
207,2020-03-02,65231000000,2.64
208,2020-02-28,81731000000,-3.26
209,2020-02-27,60001000000,-1.57
210,2020-02-26,40481000000,0.04
211,2020-02-25,50711000000,3.42
212,2020-02-24,59221000000,-4.22
213,2020-02-21,50881000000,-2.34
214,2020-02-20,53561000000,-0.9
215,2020-02-19,58451000000,0.04
216,2020-02-18,69251000000,-1.46
217,2020-02-17,64271000000,0.43
218,2020-02-14,48631000000,-0.46
219,2020-02-13,65201000000,0.2
220,2020-02-12,61271000000,0.36
221,2020-02-11,38301000000,0.91
222,2020-02-10,48301000000,0.86
223,2020-02-07,57251000000,-0.21
224,2020-02-06,46271000000,2.23
225,2020-02-05,51581000000,-0.32
226,2020-02-04,52151000000,2.08
227,2020-02-03,57281000000,0.9
228,2020-01-31,45731000000,-1.49
229,2020-01-30,50171000000,-2.03
230,2020-01-29,33911000000,1.23
231,2020-01-28,62371000000,-3.96
232,2020-01-23,34261000000,-0.93
233,2020-01-22,41141000000,2.3
234,2020-01-21,53281000000,-1.27
235,2020-01-20,45641000000,-1.2
236,2020-01-17,41441000000,-0.27
237,2020-01-16,60821000000,1.26
238,2020-01-15,46751000000,-0.37
239,2020-01-14,59991000000,-0.26
240,2020-01-13,56861000000,0.93
241,2020-01-10,57801000000,0.96
242,2020-01-09,61531000000,4.27
243,2020-01-08,104041000000,-3.18
244,2020-01-07,67581000000,2.21
245,2020-01-06,54551000000,-2.84
246,2020-01-03,63921000000,-1.44
247,2020-01-02,64141000000,-0.09
248,2019-12-30,57311000000,1.32
249,2019-12-27,57311000000,1.27
250,2019-12-26,75061000000,2.24
251,2019-12-24,61981000000,-1.5
252,2019-12-23,84381000000,1.0
253,2019-12-20,88511000000,0.54
254,2019-12-19,49191000000,0.46
255,2019-12-18,69411000000,-0.61
256,2019-12-17,72591000000,1.74
257,2019-12-16,36491000000,-0.43
258,2019-12-13,61511000000,0.89
259,2019-12-12,71061000000,2.07
260,2019-12-11,57911000000,-0.02
261,2019-12-10,44201000000,-0.41
262,2019-12-09,47871000000,-0.42
263,2019-12-06,54091000000,1.88
264,2019-12-05,63621000000,-1.26
265,2019-12-04,48711000000,-0.34
266,2019-12-03,50801000000,-1.14
