,날짜,거래량,변동 %
0,2020-12-30,752421000000,1.29
1,2020-12-29,729581000000,1.28
2,2020-12-28,587631000000,-0.88
3,2020-12-24,608911000000,0.24
4,2020-12-23,717681000000,-0.95
5,2020-12-22,861761000000,-2.34
6,2020-12-21,794051000000,0.62
7,2020-12-18,644041000000,0.94
8,2020-12-17,605841000000,0.12
9,2020-12-16,785371000000,0.84
10,2020-12-15,755061000000,-0.43
11,2020-12-14,730811000000,-0.17
12,2020-12-11,789401000000,1.01
13,2020-12-10,682981000000,0.29
14,2020-12-09,916331000000,1.17
15,2020-12-08,1081000000000,-0.84
16,2020-12-07,1161000000000,0.09
17,2020-12-04,1361000000000,-0.26
18,2020-12-03,445091000000,0.09
19,2020-12-02,736821000000,0.45
20,2020-12-01,709271000000,0.6
21,2020-11-30,824491000000,0.72
22,2020-11-27,783081000000,0.58
23,2020-11-26,1101000000000,0.41
24,2020-11-25,874501000000,-1.24
25,2020-11-24,859251000000,0.84
26,2020-11-23,659811000000,0.4
27,2020-11-20,469751000000,0.73
28,2020-11-19,527721000000,0.17
29,2020-11-18,529791000000,0.93
30,2020-11-17,736961000000,-0.77
31,2020-11-16,656481000000,1.18
32,2020-11-13,645961000000,-0.61
33,2020-11-12,700321000000,0.69
34,2020-11-11,838631000000,0.43
35,2020-11-10,942241000000,0.56
36,2020-11-09,955661000000,2.43
37,2020-11-06,616171000000,-0.02
38,2020-11-05,455651000000,1.42
39,2020-11-04,691851000000,-0.04
40,2020-11-03,708041000000,1.01
41,2020-11-02,523261000000,1.46
42,2020-10-30,560881000000,-1.46
43,2020-10-29,309521000000,-0.15
44,2020-10-28,524601000000,1.97
45,2020-10-27,426961000000,-0.41
46,2020-10-26,568881000000,-2.57
47,2020-10-23,538741000000,0.23
48,2020-10-22,582811000000,-1.18
49,2020-10-21,591971000000,0.99
50,2020-10-20,681321000000,-0.39
51,2020-10-19,724961000000,-0.13
52,2020-10-16,605511000000,-1.37
53,2020-10-15,966681000000,-1.49
54,2020-10-14,697731000000,-0.56
55,2020-10-13,540741000000,-0.01
56,2020-10-12,640911000000,0.66
57,2020-10-08,730761000000,0.96
58,2020-10-07,563741000000,0.62
59,2020-10-06,655321000000,0.46
60,2020-10-05,552671000000,1.5
61,2020-09-29,436021000000,0.95
62,2020-09-28,381111000000,2.19
63,2020-09-25,478021000000,-0.15
64,2020-09-24,466041000000,-3.54
65,2020-09-23,466101000000,-0.1
66,2020-09-22,668841000000,-2.41
67,2020-09-21,808111000000,-1.49
68,2020-09-18,514341000000,-0.08
69,2020-09-17,602291000000,-0.88
70,2020-09-16,541721000000,-0.47
71,2020-09-15,619361000000,0.29
72,2020-09-14,697581000000,1.08
73,2020-09-11,619591000000,0.06
74,2020-09-10,745491000000,2.3
75,2020-09-09,619401000000,-0.67
