,날짜,거래량,변동 %
152,2020-05-22,166031000000,-1.56
153,2020-05-21,159481000000,0.39
154,2020-05-20,140301000000,0.36
155,2020-05-19,253331000000,2.49
156,2020-05-18,223001000000,0.65
157,2020-05-15,228901000000,0.06
158,2020-05-14,167641000000,-0.86
159,2020-05-13,141251000000,0.98
160,2020-05-12,166801000000,-0.62
161,2020-05-11,144301000000,-0.65
162,2020-05-08,125221000000,0.85
163,2020-05-07,114361000000,-0.21
164,2020-05-06,133281000000,1.76
165,2020-05-04,174041000000,-2.92
166,2020-04-29,184481000000,0.69
167,2020-04-28,172421000000,0.61
168,2020-04-27,151361000000,1.82
169,2020-04-24,154311000000,-1.36
170,2020-04-23,163811000000,0.74
171,2020-04-22,184501000000,0.99
172,2020-04-21,257161000000,-1.09
173,2020-04-20,211001000000,-1.13
174,2020-04-17,287361000000,3.21
175,2020-04-16,197541000000,-0.14
176,2020-04-14,193121000000,1.66
177,2020-04-13,195901000000,-1.85
178,2020-04-10,286111000000,0.97
179,2020-04-09,175941000000,1.54
180,2020-04-08,173121000000,-1.22
181,2020-04-07,224451000000,1.69
182,2020-04-06,190741000000,3.93
183,2020-04-03,181041000000,-0.06
184,2020-04-02,181791000000,2.43
185,2020-04-01,228581000000,-4.42
186,2020-03-31,240441000000,1.88
187,2020-03-30,167231000000,-0.57
188,2020-03-27,249101000000,1.94
189,2020-03-26,290841000000,-1.52
190,2020-03-25,306111000000,5.7
191,2020-03-24,225731000000,9.15
192,2020-03-23,210301000000,-5.52
193,2020-03-20,269351000000,7.22
194,2020-03-19,303561000000,-7.67
195,2020-03-18,208041000000,-4.87
196,2020-03-17,216731000000,-2.61
197,2020-03-16,175051000000,-3.19
198,2020-03-13,298901000000,-2.81
199,2020-03-12,242471000000,-3.65
200,2020-03-11,194211000000,-2.89
201,2020-03-10,173091000000,0.59
202,2020-03-09,182671000000,-4.36
203,2020-03-06,140901000000,-2.23
204,2020-03-05,147441000000,1.17
205,2020-03-04,208461000000,2.42
206,2020-03-03,146721000000,0.44
207,2020-03-02,163721000000,0.88
208,2020-02-28,202611000000,-3.27
209,2020-02-27,110501000000,-1.02
210,2020-02-26,119551000000,-1.51
211,2020-02-25,117031000000,1.15
212,2020-02-24,132821000000,-3.9
213,2020-02-21,100711000000,-1.43
214,2020-02-20,90011000000,-0.56
215,2020-02-19,84261000000,0.2
216,2020-02-18,84751000000,-1.66
217,2020-02-17,84281000000,-0.08
218,2020-02-14,80531000000,0.69
219,2020-02-13,115071000000,-0.2
220,2020-02-12,110631000000,0.76
221,2020-02-11,78351000000,1.03
222,2020-02-10,72221000000,-0.66
223,2020-02-07,108111000000,-0.81
224,2020-02-06,110221000000,2.96
225,2020-02-05,102641000000,0.46
226,2020-02-04,105451000000,1.98
227,2020-02-03,111061000000,0.18
228,2020-01-31,101461000000,-1.33
229,2020-01-30,101541000000,-1.91
230,2020-01-29,85731000000,0.41
231,2020-01-28,130171000000,-3.16
232,2020-01-23,86911000000,-1.23
233,2020-01-22,79331000000,1.31
234,2020-01-21,67631000000,-1.14
235,2020-01-20,78041000000,0.75
236,2020-01-17,81541000000,0.17
237,2020-01-16,85711000000,1.01
238,2020-01-15,71771000000,-0.59
239,2020-01-14,92121000000,0.47
240,2020-01-13,81681000000,1.03
241,2020-01-10,94161000000,0.9
242,2020-01-09,111791000000,1.72
243,2020-01-08,124531000000,-0.62
244,2020-01-07,65351000000,0.97
245,2020-01-06,69961000000,-0.79
246,2020-01-03,79771000000,0.13
247,2020-01-02,66161000000,-1.16
248,2019-12-30,54971000000,-0.48
249,2019-12-27,77511000000,0.39
250,2019-12-26,68481000000,0.4
251,2019-12-24,60611000000,-0.67
252,2019-12-23,62091000000,-0.15
253,2019-12-20,75971000000,0.34
254,2019-12-19,70191000000,0.03
255,2019-12-18,76911000000,-0.06
256,2019-12-17,94371000000,1.6
257,2019-12-16,73741000000,-0.12
258,2019-12-13,99621000000,1.75
259,2019-12-12,133651000000,1.72
260,2019-12-11,66851000000,0.35
261,2019-12-10,56671000000,0.46
262,2019-12-09,70521000000,0.53
263,2019-12-06,70111000000,1.19
264,2019-12-05,66511000000,-0.31
265,2019-12-04,81921000000,-0.74
266,2019-12-03,67281000000,-0.45
267,2019-12-02,66611000000,0.24
268,2019-11-29,74601000000,-1.58
269,2019-11-28,61621000000,-0.57
270,2019-11-27,60901000000,0.36
271,2019-11-26,119521000000,-0.13
272,2019-11-25,64511000000,0.99
273,2019-11-22,74351000000,0.41
274,2019-11-21,81751000000,-1.39
275,2019-11-20,73551000000,-1.4
276,2019-11-19,68171000000,-0.33
277,2019-11-18,56111000000,-0.04
278,2019-11-15,71651000000,1.18
279,2019-11-14,79761000000,0.94
280,2019-11-13,60131000000,-0.84
281,2019-11-12,65571000000,1.0
282,2019-11-11,61561000000,-0.81
283,2019-11-08,73681000000,-0.44
284,2019-11-07,70721000000,-0.05
285,2019-11-06,77951000000,0.05
286,2019-11-05,76361000000,0.65
287,2019-11-04,77001000000,1.48
288,2019-11-01,58541000000,0.95
289,2019-10-31,78341000000,0.11
290,2019-10-30,72531000000,-0.73
291,2019-10-29,57151000000,-0.08
292,2019-10-28,59071000000,0.26
293,2019-10-25,58281000000,0.13
294,2019-10-24,73681000000,0.17
295,2019-10-23,65291000000,-0.43
296,2019-10-22,63881000000,1.32
297,2019-10-21,45391000000,0.36
298,2019-10-18,71471000000,-1.0
299,2019-10-17,53871000000,-0.27
300,2019-10-16,65381000000,0.72
301,2019-10-15,53051000000,0.04
302,2019-10-14,71051000000,1.08
303,2019-10-11,59641000000,0.93
304,2019-10-10,98181000000,-0.94
305,2019-10-08,75081000000,1.38
306,2019-10-07,53571000000,0.1
307,2019-10-04,62881000000,-0.43
308,2019-10-02,66211000000,-2.14
309,2019-10-01,52631000000,0.32
310,2019-09-30,54691000000,0.82
311,2019-09-27,57741000000,-1.3
312,2019-09-26,89591000000,0.17
313,2019-09-25,70841000000,-1.28
314,2019-09-24,68271000000,0.48
315,2019-09-23,60191000000,0.08
316,2019-09-20,74031000000,0.55
317,2019-09-19,70501000000,0.68
318,2019-09-18,67601000000,0.51
319,2019-09-17,73741000000,-0.12
320,2019-09-16,103341000000,0.44
321,2019-09-11,103901000000,0.77
322,2019-09-10,66341000000,0.51
323,2019-09-09,62211000000,0.7
324,2019-09-06,59201000000,0.41
325,2019-09-05,88991000000,1.05
326,2019-09-04,69291000000,1.33
327,2019-09-03,64321000000,-0.32
328,2019-09-02,54891000000,0.03
329,2019-08-30,94161000000,1.84
330,2019-08-29,64851000000,-0.48
331,2019-08-28,58341000000,0.8
332,2019-08-27,93381000000,0.52
333,2019-08-26,62611000000,-1.53
334,2019-08-23,54781000000,-0.07
335,2019-08-22,67251000000,-0.81
336,2019-08-21,65481000000,0.13
337,2019-08-20,81691000000,1.15
338,2019-08-19,66021000000,0.48
339,2019-08-16,71831000000,-0.38
340,2019-08-14,82241000000,0.8
341,2019-08-13,76821000000,-0.99
342,2019-08-12,69381000000,0.2
343,2019-08-09,117691000000,0.97
344,2019-08-08,163711000000,0.16
345,2019-08-07,90741000000,-0.56
346,2019-08-06,123171000000,-1.47
347,2019-08-05,131041000000,-2.21
348,2019-08-02,99661000000,-1.03
349,2019-08-01,72581000000,-0.23
350,2019-07-31,96241000000,-0.97
351,2019-07-30,64531000000,0.45
352,2019-07-29,78751000000,-1.65
353,2019-07-26,89841000000,-0.29
354,2019-07-25,95651000000,-0.07
355,2019-07-24,84291000000,-0.98
356,2019-07-23,95081000000,0.5
357,2019-07-22,60911000000,0.0
358,2019-07-19,87941000000,1.43
359,2019-07-18,80141000000,-0.3
360,2019-07-17,117951000000,-0.94
361,2019-07-16,137051000000,0.52
362,2019-07-15,83611000000,-0.01
363,2019-07-12,55661000000,0.33
364,2019-07-11,107371000000,1.13
365,2019-07-10,67511000000,0.38
366,2019-07-09,71881000000,-0.31
367,2019-07-08,75101000000,-2.11
368,2019-07-05,60021000000,-0.07
369,2019-07-04,77521000000,0.8
370,2019-07-03,97521000000,-1.3
371,2019-07-02,65541000000,-0.47
