,지역레벨 코드,지역명,기준연월,상세주수명,관심지점명,검색순위,시군구레벨코드,시군구 명,전체여부
64,31,울산광역시,202106,울산 울주군 삼남읍 신화리 88,울산역,65,31710,울주군,Y
65,26,부산광역시,202106,부산 강서구 대저2동 2350,김해국제공항,66,26440,강서구,Y
66,28,인천광역시,202106,인천 중구 운서동 3238,스카이72GC 바다코스,67,28110,중구,Y
67,42,강원도,202106,강원 속초시 조양동 1464-11,속초해변,68,42210,속초시,Y
68,11,서울특별시,202106,서울 은평구 진관동 63,롯데몰 은평점,69,11380,은평구,Y
69,41,경기도,202106,경기 과천시 막계동 33,서울랜드,70,41290,과천시,Y
70,11,서울특별시,202106,서울 서초구 서초동 700,예술의전당,71,11650,서초구,Y
71,50,제주특별자치도,202106,제주 서귀포시 안덕면 서광리 1235-1,오설록티뮤지엄,72,50130,서귀포시,Y
72,41,경기도,202106,경기 수원시 권선구 서둔동 381,롯데몰 수원점,73,41113,수원시 권선구,Y
73,41,경기도,202106,경기 수원시 영통구 이의동 1338,롯데아울렛 광교점,74,41117,수원시 영통구,Y
74,42,강원도,202106,강원 양양군 강현면 전진리 55,낙산사,75,42830,양양군,Y
75,44,충청남도,202106,충남 당진시 신평면 운정리 187-3,삽교호관광지,76,44270,당진시,Y
76,11,서울특별시,202106,서울 서초구 반포동 19-4,서울고속버스터미널 경부영동선,77,11650,서초구,Y
77,50,제주특별자치도,202106,제주 제주시 조천읍 함덕리 14-1,함덕해수욕장,78,50110,제주시,Y
78,11,서울특별시,202106,서울 광진구 자양동 704-1,뚝섬한강공원,79,11215,광진구,Y
79,48,경상남도,202106,경남 김해시 신문동 1414,롯데프리미엄아울렛 김해점,80,48250,김해시,Y
80,11,서울특별시,202106,서울 용산구 용산동2가 1-3,남산서울타워,81,11170,용산구,Y
81,36,세종특별자치시,202106,세종시 연기면 세종리 114-380,세종호수공원,82,36110,세종특별자치시,Y
82,11,서울특별시,202106,서울 강서구 외발산동 427,강서농산물도매시장,83,11500,강서구,Y
83,41,경기도,202106,경기 화성시 산척동 220-1,동탄호수공원,84,41590,화성시,Y
84,41,경기도,202106,경기 용인시 처인구 모현읍 능원리 5-12,레이크사이드CC,85,41461,용인시 처인구,Y
85,50,제주특별자치도,202106,제주 제주시 애월읍 곽지리,곽지해수욕장,86,50110,제주시,Y
86,11,서울특별시,202106,서울 송파구 문정동 634,가든파이브라이프,87,11710,송파구,Y
87,28,인천광역시,202106,인천 중구 무의동 167,하나개해수욕장,88,28110,중구,Y
88,26,부산광역시,202106,부산 해운대구 우동 1500,BEXCO,89,26350,해운대구,Y
89,41,경기도,202106,경기 안산시 단원구 대부북동,방아머리해수욕장,90,41273,안산시 단원구,Y
90,44,충청남도,202106,충남 공주시 유구읍 유구리 648,유구색동수국정원,91,44150,공주시,Y
91,50,제주특별자치도,202106,제주 제주시 애월읍 어음리 1503,아르떼뮤지엄,92,50110,제주시,Y
92,50,제주특별자치도,202106,제주 제주시 한림읍 금능리 2026,금능해수욕장,93,50110,제주시,Y
93,41,경기도,202106,경기 고양시 덕양구 행신동 812,행신역,94,41281,고양시 덕양구,Y
94,42,강원도,202106,강원 고성군 간성읍 어천리 786-5,고성하늬라벤더팜라벤더축제,95,42820,고성군,Y
95,48,경상남도,202106,경남 남해군 삼동면 봉화리 2571,독일마을,96,48840,남해군,Y
96,48,경상남도,202106,경남 거제시 장목면 대금리 2,매미성,97,48310,거제시,Y
97,46,전라남도,202106,전남 담양군 담양읍 향교리 282,죽녹원,98,46710,담양군,Y
98,41,경기도,202106,경기 이천시 모가면 어농리 386-1,비에이비스타CC,99,41500,이천시,Y
99,28,인천광역시,202106,인천 남동구 논현동 111-198,소래포구,100,28200,남동구,Y
