,지역명,평균관광소요시간,기준연월,콘텐츠아이디,mapx,mapy,시군구명,제목
668,경기도,237.8091935483871,202107,523741,127.162785315,37.4505821356,성남시 중원구,은행식물원 (은행자연관찰원)
669,경기도,128.72322580645164,202107,523999,126.7311263587,37.6853360039,고양시 일산서구,선인장다육식물연구소(구 선인장연구소)
670,경기도,66.19354838709677,202107,529248,127.1862810813,37.5243212258,하남시,하남 이성산성
671,경상남도,30.49948387096774,202107,533874,128.4253724527,34.8264259753,통영시,통영케이블카
672,전라남도,152.96629032258065,202107,553319,126.6225204876,34.5512564338,해남군,고산 윤선도 유적지
673,경기도,112.82267741935485,202107,558819,126.7459024404,37.4996967545,부천시,웅진플레이도시 워터도시
674,강원도,64.89635294117647,202107,561034,127.2304208677,38.3094166046,철원군,철원 평화전망대
675,제주특별자치도,59.34983870967742,202107,572960,126.8320556272,33.4588064928,제주시,용눈이오름
676,제주특별자치도,230.9493548387097,202107,572968,126.7503310451,33.3859437827,서귀포시,따라비 오름
677,제주특별자치도,76.00358064516129,202107,572973,126.3581488313,33.3674368138,제주시,새별오름
678,전라남도,390.7576451612903,202107,575607,126.1397133941,35.0028087992,신안군,증도(신안)
679,전라남도,431.0567741935484,202107,575754,126.6509991734,34.1748545775,완도군,소안도
680,경상남도,124.22916129032258,202107,575784,128.5498196639,34.6258866952,통영시,소매물도
681,충청남도,226.86432258064517,202107,577571,126.2644698997,36.3018156763,보령시,호도
682,충청남도,205.52683870967738,202107,577593,126.3769795267,36.9233876619,서산시,웅도
683,전라남도,165.81906451612906,202107,579414,127.0912649495,34.4578746712,고흥군,연홍도
684,경상남도,166.18609677419357,202107,584970,128.443509287,34.8444965015,통영시,이순신공원
685,강원도,182.44987096774193,202107,585526,128.8753019955,37.8411773549,강릉시,사천진해변(사천뒷불해수욕장)
686,전라남도,267.46080645161294,202107,587699,127.6433653359,34.733378216,여수시,디오션리조트 워터파크
687,제주특별자치도,191.95561290322578,202107,591866,126.2353395628,33.3898379598,제주시,금능해수욕장
688,전라남도,80.88390322580645,202107,593382,127.0183019973,35.2379718475,담양군,전남 담양 창평 [슬로시티]
689,제주특별자치도,56.563,202107,598635,126.9685512558,33.4967295112,제주시,검멀레해변
690,경기도,195.27967741935478,202107,603727,127.4763342349,37.7519056335,가평군,호명호수공원
691,경기도,256.4043870967742,202107,604009,127.4903145833,37.7153712493,가평군,쁘띠프랑스
692,경기도,143.329935483871,202107,611419,126.962388757,37.3834807661,안양시 동안구,평촌 먹거리촌
693,경기도,104.79693548387097,202107,611515,126.571938503,37.2712591006,안산시 단원구,대부도 방아머리 먹거리타운
694,경기도,128.33516129032262,202107,611529,126.6879759092,37.3449414801,시흥시,오이도 음식문화거리
695,경기도,140.21141935483865,202107,611738,127.1560022734,37.4620251306,성남시 수정구,단대동 닭죽촌
696,경기도,146.43770967741938,202107,611883,126.8135819558,37.5148267543,부천시,까치울 먹거리촌 (작동 먹거리촌)
697,경기도,155.44851612903227,202107,612807,127.0491428378,37.7446209136,의정부시,의정부 부대찌개거리
698,경기도,159.26009677419353,202107,619598,126.9562149046,37.1631867298,화성시,화성 베어팜
699,경기도,156.61070967741935,202107,619672,126.8669054783,37.093595974,화성시,화성식염온천
700,경기도,276.18296774193544,202107,619709,126.6053614787,37.2341417672,안산시 단원구,동주염전
701,전라남도,123.04093548387097,202107,632089,126.7662914168,34.3103218886,완도군,완도타워
702,제주특별자치도,133.30777419354837,202107,635701,126.8638107873,33.3560016909,서귀포시,신풍 신천 바다목장
703,경기도,340.2412903225807,202107,638913,127.0356067331,37.2976364693,수원시 영통구,수원박물관
704,제주특별자치도,76.8103870967742,202107,642353,126.273707347,33.3146135483,제주시,제주 유리의성
705,경기도,308.9501290322581,202107,646762,127.2963597331,37.3374976537,광주시,곤지암리조트 스키장
706,전라북도,167.5326774193548,202107,649968,126.9102191565,35.4864779891,정읍시,우화정(내장산)
707,대구광역시,126.40464516129032,202107,651687,128.6034064479,35.8688980342,중구,국채보상운동기념공원
708,전라남도,160.1754838709677,202107,654770,127.352287925,34.8492352234,보성군,태백산맥문학관
