,기준연월일,동시수용인원수,콘텐츠 ID,예측혼잡도구분코드,예측혼잡도비율,예측수,제목
0,20210817,2240.78482192623,129777,1,0.5952338783267462,1333.7910400508574,한국대나무박물관
1,20210819,1339.072832923497,2553946,5,0.8434039815662645,1129.3793588948945,금천예술공장
2,20210822,12316.042413251367,125514,3,0.683226084232937,8414.641431252503,안양예술공원
3,20210824,648.9215431693988,127652,3,0.38490117244403754,249.7706627900957,보길도
4,20210826,13214.517706010929,131300,3,0.229145045941033,3028.0412668324684,휘닉스파크(워터파크)
5,20210828,18381.253073224045,264311,2,1.2357446108202168,22714.53442535916,명동
6,20210908,1166.3333490437158,998882,1,0.7078429750763872,825.5808677179101,안지랑곱창골목
7,20210912,22767.317307692312,2606207,3,0.8629969325969535,19648.124999999996,목포해상케이블카
8,20210829,5011.216829576503,127865,5,0.8777500674565315,4398.595910200082,고사포해수욕장
9,20210829,31679.14808046448,127866,4,0.9433937102403512,29885.909044882887,대천해수욕장
10,20210829,3725.533832445355,127870,3,1.102924917077432,4108.984093218961,곽지해수욕장
11,20210829,2539.9520053278684,127916,3,1.2203529619735103,3099.6379529724213,청남대
12,20210829,5980.354670901639,127929,5,2.2295071508231965,13333.243503234109,청평자연휴양림
13,20210829,626.4538664617485,127933,3,0.5816405598777703,364.3709776264053,김유정문학촌
14,20210829,5766.527364480874,127938,3,0.6074848337032763,3503.0779170570563,거제도포로수용소유적공원
15,20210829,8182.6917174180335,127940,1,0.6626124945264406,5421.953770819207,보라매공원
16,20210829,5701.030536680328,127955,2,0.6998400043763224,3989.809235739908,여의도공원
17,20210829,593.5192642759563,127956,3,1.1894777945911565,705.9779855183303,가조백두산천지온천
18,20210829,7801.653487431693,127958,4,0.8177793987881725,6380.031498505539,리솜오션캐슬 아쿠아월드
19,20210829,4938.102766734974,127960,3,0.9291371151837279,4588.174559164919,김포국제조각공원
20,20210829,304.1443985655738,127970,4,1.0300729215068092,313.29090919037196,입곡군립공원
21,20210829,1152.7979888661202,127977,3,1.1286481010011389,1301.1032609716785,익산미륵사지유네스코세계유산
22,20210829,116.78095409836064,128001,4,3.002272208857597,350.60821301338285,대둔산도립공원(금산)
23,20210829,10930.33086010929,128003,3,1.9795458506449901,21637.091100306232,율암온천숯가마테마파크
24,20210829,1370.035575751366,128013,4,1.3275189740457827,1818.7482219276765,태안신두리해안사구
25,20210829,12110.26889897541,128015,2,0.8354675970384569,10117.737256516544,서울신림동민속순대타운
26,20210829,6625.411168852459,128017,1,0.2595348471290326,1719.525074875108,영취산(여수)
27,20210829,9915.241567554645,128019,4,0.9532972338023153,9452.172358831576,남이섬
28,20210829,9679.096619672131,128021,2,1.5987362694201483,15474.322821091791,월드컵공원
29,20210829,9410.63317479508,128025,3,0.9594686249669764,9029.207272289248,오동도
30,20210829,4619.150337704918,128027,3,1.992682738348026,9204.501143779044,인천대공원
31,20210829,6004.889684767761,128028,3,0.5480622610927698,3291.0534182464685,백련사(서울)
32,20210829,6631.732923838797,128030,4,1.5115913997797308,10024.470453310814,강화 초지진
33,20210829,5284.2401782103825,128035,3,1.2223139679088406,6459.000579611651,거제지심도
34,20210829,471.00788353825135,128039,3,0.5408540904447777,254.74654044340073,불굴사(경산)
35,20210829,13489.629295218581,128040,3,0.9005316815560223,12147.838552790568,율동공원
36,20210829,505.8948866120219,128053,1,0.5310341502661092,268.64746123598474,선암사(부산)
37,20210829,17932.288675,128064,5,1.3479645919432968,24172.090186405778,광교산
38,20210829,7982.453716598359,128066,1,0.4708399454472422,3758.4580724583075,안산갈대습지공원
39,20210829,4048.3714598603437,128068,3,0.9709900670520848,3930.9284752615417,치악산자연휴양림
40,20210829,1470.855568306011,128106,3,1.9374214374606031,2849.667109444364,금산(남해)
41,20210829,11355.586106284152,128109,4,1.2529986638370996,14228.534218261175,오이도
42,20210829,1803.4666340163935,128111,3,1.05366934973144,1900.2575155264021,세계꽃식물원
43,20210829,1074.7728699453553,128120,3,1.7211499167629423,1849.8452356455168,대구수목원
44,20210829,6314.321554371585,128123,3,0.5014239948254938,3166.152338405722,척산온천지구
45,20210829,2991.3153255464485,128127,4,1.0751677100553365,3216.1656486212087,아산공세리성당
46,20210829,7729.243316188524,128138,3,0.6033705984790663,4663.598165478992,원당종마목장(렛츠런팜원당)
47,20210829,5735.211564412569,128139,3,0.9012654383897676,5168.947964858358,고려 공양왕릉
48,20210829,305.7439191256831,128146,4,3.0540391667337863,933.7539040005233,하동쌍계사
49,20210829,4218.566880806011,128156,3,0.5892184084247987,2485.657263342085,태산패밀리파크
50,20210829,21644.582528142077,128168,4,1.0968133902453439,23740.067943136648,헤이리예술마을
51,20210829,1134.6874267759563,128171,3,1.0969246367712966,1244.666593465173,고성통일전망타워
52,20210828,37603.718780737705,264353,2,0.7984748335459273,30025.6230941574,인사동
53,20210828,6557.548316666668,264434,3,1.0762093479159687,7057.2947978072925,춘천명동거리
54,20210828,240.65657841530054,264481,2,0.40958836661108133,98.57013486733456,제2땅굴(철원)
55,20210828,386.8428829543451,264485,5,2.077932330548269,803.8333333333335,철원노동당사
56,20210828,14327.332078346992,264512,3,1.0941084646024213,15675.655302089244,인천차이나타운
57,20210828,9881.491958811475,264517,5,1.7550382580547925,17342.396434374932,용유도 마시안해변
58,20210828,8558.58814102564,2648242,3,1.1679496472185777,9996.0,시흥오이도박물관
59,20210828,1215.7682909836067,2649950,3,1.0577487620012014,1285.9774046682264,임실치즈마을
60,20210828,7759.598087021858,2649975,4,1.225514053858676,9509.496507940185,광명동굴(가학광산)
