,시도코드,시도명,기준연월일,요일구분코드,요일구분명,관강객구분코드,관광객구분명,관광객수
114,43,충청북도,20210730,5,금요일,1,현지인(a),761687.5
115,43,충청북도,20210730,5,금요일,2,외지인(b),338604.0
116,43,충청북도,20210730,5,금요일,3,외국인(c),389.7655409296584
117,44,충청남도,20210730,5,금요일,1,현지인(a),1020008.5
118,44,충청남도,20210730,5,금요일,2,외지인(b),478310.0
119,44,충청남도,20210730,5,금요일,3,외국인(c),685.9379474940326
120,45,전라북도,20210730,5,금요일,1,현지인(a),998942.0
121,45,전라북도,20210730,5,금요일,2,외지인(b),307219.5
122,45,전라북도,20210730,5,금요일,3,외국인(c),468.2027968337731
123,46,전라남도,20210730,5,금요일,1,현지인(a),916020.0
124,46,전라남도,20210730,5,금요일,2,외지인(b),414596.0
125,46,전라남도,20210730,5,금요일,3,외국인(c),1218.0836786152381
126,47,경상북도,20210730,5,금요일,1,현지인(a),1363908.0
127,47,경상북도,20210730,5,금요일,2,외지인(b),578203.5
128,47,경상북도,20210730,5,금요일,3,외국인(c),620.7532157394846
129,48,경상남도,20210730,5,금요일,1,현지인(a),1522647.0
130,48,경상남도,20210730,5,금요일,2,외지인(b),501483.5
131,48,경상남도,20210730,5,금요일,3,외국인(c),1648.6685530024788
132,50,제주특별자치도,20210730,5,금요일,1,현지인(a),524944.0
133,50,제주특별자치도,20210730,5,금요일,2,외지인(b),219894.5
134,50,제주특별자치도,20210730,5,금요일,3,외국인(c),1200.176451890034
135,11,서울특별시,20210805,4,목요일,1,현지인(a),4450925.5
136,11,서울특별시,20210805,4,목요일,2,외지인(b),1089340.0
137,11,서울특별시,20210805,4,목요일,3,외국인(c),6253.884988215017
138,11,서울특별시,20210723,5,금요일,1,현지인(a),4538215.5
139,11,서울특별시,20210723,5,금요일,2,외지인(b),1268190.0
140,11,서울특별시,20210723,5,금요일,3,외국인(c),4996.061283918819
141,26,부산광역시,20210723,5,금요일,1,현지인(a),1387053.5
142,26,부산광역시,20210723,5,금요일,2,외지인(b),347564.0
143,26,부산광역시,20210723,5,금요일,3,외국인(c),2785.956982749149
